name,status,nvar,nvar_bin,nvar_int,nvar_cont,ncons,nnz,group,obj,tags
10teams,easy,2025,1800,0,225,230,12150,--,924,binary set_partitioning set_packing invariant_knapsack
22433,easy,429,231,0,198,198,3408,--,21477,mixed_binary general_linear
23588,easy,368,231,0,137,137,3701,--,8090,mixed_binary general_linear
2club200v15p5scn,hard,200,200,0,0,17013,104811,--,-70,binary variable_bound invariant_knapsack
30_70_45_05_100,easy,10772,10771,0,1,12050,45889,30_70,9,binary decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary
30_70_45_095_100,easy,10976,10975,0,1,12526,46640,30_70,3,binary decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary
30_70_45_095_98,easy,10990,10989,0,1,12471,46387,30_70,12,binary decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary
30n20b8,easy,18380,18318,62,0,576,109706,--,302,benchmark benchmark_suitable precedence set_partitioning general_linear
50v-10,easy,2013,1464,183,366,233,2745,--,3311.1799841,benchmark decomposition benchmark_suitable mixed_binary general_linear
8div-n59k10,hard,6143,6138,5,0,2065,539151,8div,Infeasible,infeasible set_partitioning cardinality equation_knapsack integer_knapsack general_linear
8div-n59k11,hard,12287,12282,5,0,4114,2126864,8div,Infeasible,infeasible set_partitioning cardinality equation_knapsack integer_knapsack general_linear
8div-n59k12,hard,24575,24570,5,0,8211,8448017,8div,Infeasible,infeasible set_partitioning cardinality equation_knapsack integer_knapsack general_linear
a1c1s1,easy,3648,192,0,3456,3312,10178,c1s1,11503.444125,benchmark_suitable aggregations variable_bound mixed_binary
a2864-99blp,open,200787,200787,0,0,22117,20078717,selofsubspaces,-257*,binary set_packing invariant_knapsack
a2c1s1,easy,3648,192,0,3456,3312,10178,c1s1,10889.137625,benchmark_suitable aggregations variable_bound mixed_binary
ab51-40-100,easy,12675,12675,0,0,11893,72745,ab,-10420305975,binary decomposition numerics precedence set_packing
ab67-40-100,easy,12812,12812,0,0,12092,75871,ab,-11186253442,binary decomposition numerics precedence set_packing
ab69-40-100,easy,12622,12622,0,0,11911,74233,ab,-11186281442,binary decomposition numerics precedence set_packing
ab71-20-100,easy,6689,6689,0,0,6380,41961,ab,-10420305975,binary decomposition numerics precedence set_packing
ab72-40-100,easy,12370,12370,0,0,11671,72137,ab,-11186620442,binary decomposition numerics precedence set_packing
academictimetablebig,hard,168974,168974,0,0,167661,1545375,--,427,binary aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack binpacking knapsack
academictimetablesmall,easy,28926,28926,0,0,23294,268350,--,0,benchmark binary decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack binpacking knapsack
acc-tight2,easy,1620,1620,0,0,2520,15327,acc-tight,0,binary benchmark_suitable precedence set_partitioning set_packing set_covering cardinality invariant_knapsack
acc-tight4,easy,1620,1620,0,0,3285,17073,acc-tight,0,binary benchmark_suitable precedence set_partitioning set_packing set_covering cardinality invariant_knapsack mixed_binary
acc-tight5,easy,1339,1339,0,0,3052,16134,acc-tight,0,binary benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack mixed_binary
adult-max5features,hard,32674,32597,41,36,32709,417567,ustun,5642.12193889542,variable_bound general_linear
adult-regularized,open,32674,32597,41,36,32709,417567,ustun,7022.953543477999*,variable_bound general_linear
aflow30a,easy,842,421,0,421,479,2091,aflow,1158,decomposition benchmark_suitable variable_bound set_partitioning mixed_binary
aflow40b,easy,2728,1364,0,1364,1442,6783,aflow,1168,decomposition benchmark_suitable variable_bound set_partitioning mixed_binary
air03,easy,10757,10757,0,0,124,91028,air,340160,binary aggregations set_partitioning
air04,easy,8904,8904,0,0,823,72965,air,56137,binary benchmark_suitable aggregations set_partitioning
air05,easy,7195,7195,0,0,426,52121,air,26374,benchmark binary benchmark_suitable set_partitioning
aligninq,easy,1831,1830,0,1,340,15734,--,2713,benchmark_suitable invariant_knapsack mixed_binary general_linear
allcolor10,hard,14872,476,13776,620,34014,89136,allcolor,6,decomposition aggregations precedence variable_bound set_partitioning integer_knapsack general_linear
allcolor58,open,84376,2492,78288,3596,197154,515184,allcolor,258.0*,decomposition aggregations precedence variable_bound set_partitioning integer_knapsack general_linear
amaze22012-03-15i,hard,94351,31870,2770,59711,126975,251822,amaze,0,feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality equation_knapsack integer_knapsack mixed_binary general_linear
amaze22012-06-28i,easy,12691,4376,914,7401,17319,33831,amaze,0,feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear
amaze22012-07-04i,hard,31237,10654,1603,18980,42328,83384,amaze,0,feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear
app1-1,easy,2480,1225,0,1255,4926,18275,app,-3,benchmark benchmark_suitable precedence variable_bound set_covering mixed_binary
app1-2,easy,26871,13300,0,13571,53467,199175,app,-41,benchmark decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary
app2-1,easy,3283,3283,0,0,1038,8652,app,19294.125,binary decomposition numerics variable_bound set_packing mixed_binary
app2-2,easy,1226,1226,0,0,335,3130,app,212040.3571429,binary decomposition numerics variable_bound set_packing mixed_binary
app3,easy,3080,100,0,2980,766,14707,app,5751714.3289,variable_bound set_packing mixed_binary
arki001,easy,1388,442,96,850,1048,20420,--,7580813.0459,numerics variable_bound set_packing invariant_knapsack integer_knapsack mixed_binary general_linear
assign1-10-4,open,572,520,0,52,582,28280,assign1,422*,set_partitioning cardinality mixed_binary
assign1-5-8,easy,156,130,0,26,161,3720,assign1,211.999999999998,benchmark benchmark_suitable set_partitioning cardinality mixed_binary
atlanta-ip,easy,48738,46667,106,1965,21732,257532,--,90.009878614,benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear
atm20-100,hard,6480,2220,0,4260,4380,58878,--,2463621.57727541,decomposition variable_bound set_partitioning invariant_knapsack mixed_binary
australia-abs-cta,easy,49758,918,0,48840,3946,33792,cta,106.058909602874,decomposition numerics aggregations variable_bound mixed_binary
b-ball,easy,100,88,0,12,30,209,--,-1.50000000000001,benchmark_suitable precedence cardinality mixed_binary
b1c1s1,easy,3872,288,0,3584,3904,11408,c1s1,24544.25,benchmark benchmark_suitable aggregations variable_bound mixed_binary
b2c1s1,easy,3872,288,0,3584,3904,11408,c1s1,25687.9,aggregations variable_bound mixed_binary
bab1,hard,61152,61152,0,0,60680,854392,bab,-218764.88525,binary decomposition aggregations set_packing set_covering cardinality invariant_knapsack knapsack mixed_binary
bab2,hard,147912,147912,0,0,17245,2027726,bab,-357544.3115,benchmark binary decomposition benchmark_suitable aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary
bab3,open,393800,393800,0,0,23069,3301838,bab,-656214.9542*,binary decomposition aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary
bab5,easy,21600,21600,0,0,4964,155520,bab,-106411.8401,binary decomposition benchmark_suitable aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary
bab6,hard,114240,114240,0,0,29904,1283181,bab,-284248.2307,benchmark binary benchmark_suitable aggregations precedence set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary
bc,easy,1751,483,0,1268,1913,227072,bc,7,numerics variable_bound set_packing mixed_binary general_linear
bc1,easy,1751,252,0,1499,1913,227072,bc,3.3383625476,numerics variable_bound set_packing mixed_binary
beasleyC1,easy,2500,1250,0,1250,1750,5000,beasley,85,decomposition aggregations variable_bound mixed_binary
beasleyC2,easy,2500,1250,0,1250,1750,5000,beasley,144,decomposition benchmark_suitable aggregations variable_bound mixed_binary
beasleyC3,easy,2500,1250,0,1250,1750,5000,beasley,753.999999999913,benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary
beavma,easy,390,195,0,195,372,975,--,383285,decomposition aggregations variable_bound set_packing mixed_binary
berlin,easy,5304,2652,0,2652,2704,10608,--,1043.99999999714,decomposition benchmark_suitable variable_bound mixed_binary
berlin_5_8_0,easy,1083,794,0,289,1532,4507,--,62,precedence invariant_knapsack mixed_binary
bg512142,hard,792,240,0,552,1307,3953,--,184202.75,aggregations precedence variable_bound mixed_binary
bharat,open,590519,122614,0,467905,1299953,3565462,--,4193333.93287*,numerics aggregations precedence variable_bound mixed_binary
biella1,easy,7328,6110,0,1218,1203,71489,--,3065005.78,benchmark_suitable mixed_binary general_linear
bienst1,easy,505,28,0,477,576,2184,--,46.7499999999999,decomposition benchmark_suitable precedence variable_bound cardinality mixed_binary
bienst2,easy,505,35,0,470,576,2184,--,54.6,decomposition benchmark_suitable precedence variable_bound cardinality mixed_binary
binkar10_1,easy,2298,170,0,2128,1026,4496,--,6742.1998835,benchmark benchmark_suitable aggregations mixed_binary
blend2,easy,353,239,25,89,274,1409,--,7.598985,decomposition aggregations variable_bound general_linear
