problem,nnz
30n20b8,18484
CMS750_4,5784
air05,4207
app1-1,1748
app1-2,7650
assign1-5-8,4818
beasleyC3,19088
binkar10_1,2923
bnatt400,3196
brazil3,5934
cbs-cta,0
chromaticindex1024-7,342
chromaticindex512-7,590
co-100,345004
cod105,34096
cost266-UUE,3793
csched007,17365
csched008,2829
dano3_3,140
dano3_5,673
decomp2,0
drayage-100-23,0
drayage-25-23,3720
eil33-2,65560
enlight_hard,0
ex10,0
ex9,0
exp-1-500-5-5,7796
fast0507,3020
fastxgemm-n2r6s0t2,2563
fiball,0
gen-ip002,574
gen-ip054,2
gfd-schedulen180f7d50m30k18,0
glass-sc,2722
glass4,1410
gmu-35-40,3501
graph20-20-1rand,4625
graphdraw-domain,928
h80x6320d,73721
hypothyroid-k1,0
icir97_tension,17364
irp,34663
istanbul-no-cutoff,25724
k1mushroom,0
map10,1874
map16715-04,1448
markshare_4_0,363
mas74,2445
mas76,1023
mc11,30545
mcsched,5875
mik-250-20-75-4,9055
mushroom-best,1732
mzzv11,14902
mzzv42z,23153
n2seq36q,56737
n3div36,1166110
n5-3,9345
neos-1122047,0
neos-1171448,0
neos-1445765,5479
neos-1456979,836
neos-1582420,3939
neos-2978193-inde,2277
neos-2987310-joes,0
neos-3024952-loue,24173
neos-3083819-nubu,2302
neos-3216931-puriri,5937
neos-3381206-awhea,10143
neos-3402294-bobin,3496
neos-3627168-kasai,9119
neos-4413714-turia,16303
neos-4647030-tutaki,9992
neos-4722843-widden,2533
neos-4738912-atrato,9893
neos-5093327-huahum,10571
neos-5107597-kakapo,12626
neos-5188808-nattai,6997
neos-5195221-niemur,1511
neos-662469,29807
neos-787933,0
neos-827175,0
neos-848589,0
neos-860300,32912
neos-911970,6315
neos-933966,0
neos-950242,3145
neos-957323,4923
neos-960392,0
neos17,4
neos5,2300
neos8,12
net12,4763
netdiversion,6121
nexp-150-20-8-5,515104
ns1116954,0
ns1208400,1323
ns1644855,0
ns1830653,2194
nu25-pr12,12038
nursesched-sprint02,3413
nw04,25389
p200x1188c,16936
pg,58865
pg5_34,38606
physiciansched6-2,2930
piperout-08,0
piperout-27,0
pk1,949
qap10,701
rail01,9556
rail507,4808
ran14x18-disj-8,9289
reblock115,5745
rmatr100-p10,2356
rocI-4-11,2616
rocII-5-11,6438
rococoC10-001000,3756
roi2alpha3n4,1461
roll3000,6601
s250r10,198245
seymour1,6747
snp-02-004-104,3340
sp150x300d,1841
sp98ar,92036
splice1k1,56000
supportcase26,6559
supportcase33,16551
supportcase40,1165
supportcase7,159366
swath1,1651
swath3,3643
tbfp-network,154361
timtab1,2795
tr12-30,3212
trento1,183
triptim1,9608
uccase12,5329
uct-subprob,2861
unitcal_7,31085
var-smallemery-m6j6,0
wachplan,2481
